                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.48256,                0.09632,                0.08861,                0.37273,                0.93653,                0.99819,                      1,                  0.995,                 0.9217,                0.99819,                      1,                  0.995,                  0.995,                0.44133,                0.10169,                0.01971,                0.31318,                0.90436,              0.0016931,              0.0016931,              0.0016931
                     34,                0.49688,                0.06731,                0.06998,                0.38415,                 0.9358,                0.99767,                      1,                  0.995,                0.87274,                0.99767,                      1,                  0.995,                  0.995,                0.44594,                0.02492,                0.01637,                 0.2895,                 0.9044,              0.0016832,              0.0016832,              0.0016832
                     35,                0.46113,                0.07911,                0.09634,                0.36858,                0.92259,                0.99812,                      1,                  0.995,                0.89815,                0.99812,                      1,                  0.995,                  0.995,                0.40539,                0.10101,                0.00698,                0.30989,                0.93767,              0.0016733,              0.0016733,              0.0016733
                     36,                0.44727,                0.10704,                0.08471,                0.35801,                0.94287,                0.99812,                      1,                  0.995,                0.89455,                0.99812,                      1,                  0.995,                  0.995,                0.49574,                0.01855,                 0.0012,                0.33442,                0.92528,              0.0016634,              0.0016634,              0.0016634
                     37,                0.45417,                0.09889,                0.05518,                0.35457,                0.95042,                0.99824,                      1,                  0.995,                0.97441,                0.99824,                      1,                  0.995,                  0.995,                0.37885,                 0.0726,                0.00074,                0.30618,                0.90753,              0.0016535,              0.0016535,              0.0016535
                     38,                0.44895,                0.10878,                0.07802,                0.35047,                0.92913,                0.99574,                      1,                  0.995,                0.90629,                0.99574,                      1,                  0.995,                  0.995,                0.43667,                0.10739,                0.00244,                0.38115,                0.90342,              0.0016436,              0.0016436,              0.0016436
                     39,                 0.4485,                0.10505,                0.06833,                 0.3473,                0.92908,                0.96953,                      1,                  0.995,                0.93689,                0.96953,                      1,                  0.995,                  0.995,                0.33156,                0.04487,                0.00508,                0.33973,                0.88451,              0.0016337,              0.0016337,              0.0016337
                     40,                0.45028,                0.08395,                0.07746,                0.34175,                0.92961,                0.99359,                      1,                  0.995,                 0.9616,                0.99359,                      1,                  0.995,                  0.995,                0.30323,                0.08452,                0.03262,                 0.2544,                 0.8785,              0.0016238,              0.0016238,              0.0016238
                     41,                0.42468,                0.08303,                0.07017,                0.33465,                0.92109,                0.98974,                      1,                  0.995,                 0.8862,                0.98974,                      1,                  0.995,                  0.995,                0.51242,                0.05081,                0.00433,                0.32612,                0.91081,              0.0016139,              0.0016139,              0.0016139
                     42,                0.43119,                0.05679,                0.07228,                0.34116,                 0.9257,                0.99813,                      1,                  0.995,                0.92426,                0.99813,                      1,                  0.995,                  0.995,                0.44004,                0.09355,                0.00873,                0.30604,                0.90613,               0.001604,               0.001604,               0.001604
                     43,                0.40986,                0.08111,                0.04497,                0.34279,                0.91848,                      1,                      1,                  0.995,                0.92408,                      1,                      1,                  0.995,                  0.995,                 0.4616,                0.01688,                0.00314,                0.29594,                0.91158,              0.0015941,              0.0015941,              0.0015941
                     44,                0.44333,                0.08387,                0.06415,                0.35343,                 0.9252,                      1,                      1,                  0.995,                0.92806,                      1,                      1,                  0.995,                  0.995,                0.34503,                0.03295,                0.02191,                0.24449,                0.89698,              0.0015842,              0.0015842,              0.0015842
                     45,                0.43046,                0.08227,                0.07871,                0.34383,                0.90874,                0.99827,                      1,                  0.995,                0.95195,                0.99827,                      1,                  0.995,                  0.995,                0.38229,                 0.0207,                0.01193,                0.32907,                0.90187,              0.0015743,              0.0015743,              0.0015743
                     46,                0.44723,                 0.0628,                0.06814,                0.35096,                0.92571,                0.99826,                      1,                  0.995,                0.95531,                0.99826,                      1,                  0.995,                0.91786,                0.45207,                0.34093,                0.03092,                0.32582,                0.90449,              0.0015644,              0.0015644,              0.0015644
                     47,                0.44794,                0.06933,                0.06347,                0.35052,                0.92863,                0.99803,                      1,                  0.995,                 0.9369,                0.99803,                      1,                  0.995,                  0.995,                0.36976,                0.03042,                0.00577,                0.25652,                0.90204,              0.0015545,              0.0015545,              0.0015545
                     48,                0.49276,                 0.0583,                0.08169,                0.36369,                0.92708,                0.99821,                      1,                  0.995,                 0.9525,                0.99821,                      1,                  0.995,                  0.995,                0.32919,                0.01253,                0.00302,                0.24625,                0.88355,              0.0015446,              0.0015446,              0.0015446
                     49,                0.44241,                0.05325,                0.05523,                0.33283,                0.92488,                0.99816,                      1,                  0.995,                0.95143,                0.99816,                      1,                  0.995,                  0.995,                0.34534,                0.05998,                0.00379,                0.27964,                0.88849,              0.0015347,              0.0015347,              0.0015347
                     50,                0.42217,                0.05422,                0.04594,                0.32614,                0.91418,                0.99821,                      1,                  0.995,                0.95319,                0.99821,                      1,                  0.995,                  0.995,                0.35568,                0.01335,                0.00386,                0.24604,                0.89139,              0.0015248,              0.0015248,              0.0015248
                     51,                0.41155,                0.09444,                0.07026,                0.32675,                0.90782,                0.99819,                      1,                  0.995,                0.93785,                0.99819,                      1,                  0.995,                  0.995,                0.48187,                0.03825,                0.00831,                0.35095,                0.90405,              0.0015149,              0.0015149,              0.0015149
                     52,                0.40555,                0.06119,                0.05476,                0.33712,                0.90197,                0.99825,                      1,                  0.995,                0.94712,                0.99825,                      1,                  0.995,                  0.995,                0.35986,                0.06005,                0.00508,                0.25745,                0.89207,               0.001505,               0.001505,               0.001505
                     53,                0.39048,                0.04752,                0.05413,                0.31856,                0.90121,                0.99824,                      1,                  0.995,                0.96438,                0.99824,                      1,                  0.995,                  0.995,                0.31677,                0.01584,                0.00598,                0.28215,                0.87937,              0.0014951,              0.0014951,              0.0014951
                     54,                0.41544,                0.05811,                0.05295,                0.33474,                0.92022,                0.99822,                      1,                  0.995,                0.90421,                0.99822,                      1,                  0.995,                  0.995,                0.53353,                0.05298,                 0.0227,                0.35085,                0.91815,              0.0014852,              0.0014852,              0.0014852
                     55,                0.39133,                0.08396,                0.04012,                  0.313,                0.90406,                0.99823,                      1,                  0.995,                0.85484,                0.99823,                      1,                  0.995,                  0.995,                0.75055,                0.05798,                0.00853,                0.35924,                0.96234,              0.0014753,              0.0014753,              0.0014753
                     56,                0.45429,                0.09951,                0.05285,                0.33226,                0.92899,                 0.9976,                      1,                  0.995,                 0.9587,                 0.9976,                      1,                  0.995,                  0.995,                0.30429,                 0.0267,                0.00254,                0.27855,                0.88531,              0.0014654,              0.0014654,              0.0014654
                     57,                0.44572,                0.07332,                0.06624,                0.33058,                0.92038,                0.99722,                      1,                  0.995,                0.94537,                 0.8979,                    0.9,                0.90034,                0.89522,                0.38321,                0.97859,                0.00331,                0.28005,                0.89517,              0.0014555,              0.0014555,              0.0014555
                     58,                0.43862,                0.04967,                 0.0456,                0.32897,                0.92075,                0.99655,                      1,                  0.995,                0.97193,                0.99655,                      1,                  0.995,                  0.995,                0.36158,                0.02451,                 0.0057,                0.32539,                0.89299,              0.0014456,              0.0014456,              0.0014456
                     59,                0.38353,                0.09472,                0.07622,                0.30372,                0.89571,                0.99819,                      1,                  0.995,                0.86025,                0.99819,                      1,                  0.995,                  0.995,                0.68355,                0.04449,                0.00592,                0.37749,                0.94602,              0.0014357,              0.0014357,              0.0014357
                     60,                0.43394,                0.07287,                 0.0885,                0.33543,                0.92612,                0.99801,                      1,                  0.995,                0.87402,                0.99801,                      1,                  0.995,                  0.995,                0.61997,                0.06974,                0.01608,                0.39354,                0.93685,              0.0014258,              0.0014258,              0.0014258
                     61,                0.39587,                0.10924,                0.06408,                 0.3219,                0.90909,                 0.9982,                      1,                  0.995,                0.95828,                 0.9982,                      1,                  0.995,                  0.995,                0.32879,                0.01981,                0.00367,                0.24881,                0.88329,              0.0014159,              0.0014159,              0.0014159
                     62,                0.40956,                0.08028,                0.06062,                0.32254,                0.90481,                0.99822,                      1,                  0.995,                0.91789,                0.99822,                      1,                  0.995,                  0.995,                0.55189,                0.01887,                0.00496,                0.42315,                0.93958,               0.001406,               0.001406,               0.001406
                     63,                0.39974,                0.05394,                0.04877,                0.31764,                0.91309,                0.99816,                      1,                  0.995,                0.84312,                0.99816,                      1,                  0.995,                  0.995,                0.73308,                0.01563,                0.00298,                0.36576,                0.97202,              0.0013961,              0.0013961,              0.0013961
                     64,                0.43171,                0.04614,                 0.0545,                0.32842,                0.91902,                0.99816,                      1,                  0.995,                0.91846,                0.99816,                      1,                  0.995,                  0.995,                0.37775,                0.01492,                0.01348,                0.24671,                0.89911,              0.0013862,              0.0013862,              0.0013862
                     65,                0.41401,                0.04693,                0.05185,                0.31221,                 0.9177,                0.99822,                      1,                  0.995,                0.95821,                0.99822,                      1,                  0.995,                  0.995,                0.36956,                0.03245,                0.00455,                0.27512,                0.90889,              0.0013763,              0.0013763,              0.0013763
                     66,                0.41529,                0.06619,                0.03658,                0.31654,                0.92425,                0.99825,                      1,                  0.995,                0.95255,                0.99825,                      1,                  0.995,                  0.995,                0.33334,                 0.0331,                0.00255,                0.23315,                0.88425,              0.0013664,              0.0013664,              0.0013664
                     67,                0.38824,                 0.0456,                0.05127,                0.30138,                 0.9025,                0.99819,                      1,                  0.995,                0.96554,                0.99819,                      1,                  0.995,                0.99086,                0.34523,                0.08136,                0.00251,                0.25741,                0.88506,              0.0013565,              0.0013565,              0.0013565
                     68,                0.38703,                0.03134,                0.04432,                0.30542,                0.90359,                0.99801,                      1,                  0.995,                0.95492,                0.99801,                      1,                  0.995,                  0.995,                0.30608,                0.01063,                0.00302,                0.23772,                0.88398,              0.0013466,              0.0013466,              0.0013466
                     69,                0.36523,                0.04819,                0.05179,                0.29111,                0.89331,                0.99821,                      1,                  0.995,                0.96534,                0.99821,                      1,                  0.995,                  0.995,                0.29175,                0.00752,                0.00395,                0.21744,                0.87502,              0.0013367,              0.0013367,              0.0013367
                     70,                0.38257,                0.05488,                0.04654,                0.30353,                0.90334,                0.99821,                      1,                  0.995,                0.94216,                0.99821,                      1,                  0.995,                  0.995,                0.31261,                0.00712,                0.00217,                0.22484,                0.88083,              0.0013268,              0.0013268,              0.0013268
                     71,                0.38791,                0.05417,                0.05799,                0.30809,                0.91024,                0.99812,                      1,                  0.995,                0.95479,                0.99812,                      1,                  0.995,                  0.995,                0.35471,                0.01089,                0.00184,                0.23327,                0.89481,              0.0013169,              0.0013169,              0.0013169
                     72,                0.39255,                0.02966,                0.05479,                0.29851,                0.91368,                0.99802,                      1,                  0.995,                0.93774,                0.99802,                      1,                  0.995,                  0.995,                 0.3052,                0.00514,                0.00117,                0.22538,                0.88819,               0.001307,               0.001307,               0.001307
                     73,                0.36069,                0.04122,                0.04847,                0.29122,                0.89411,                0.99821,                      1,                  0.995,                 0.9671,                0.99821,                      1,                  0.995,                  0.995,                0.30569,                0.00848,                0.00102,                0.24892,                0.88389,              0.0012971,              0.0012971,              0.0012971
                     74,                0.36159,                0.04533,                0.03446,                0.28233,                0.90303,                0.99821,                      1,                  0.995,                0.95765,                0.99821,                      1,                  0.995,                  0.995,                0.32834,                0.01416,                0.00157,                0.26054,                0.89145,              0.0012872,              0.0012872,              0.0012872
